market_id,event_ticker,action,reason,new_enabled,new_min_spread,new_quote_size,new_max_inventory_yes,new_max_inventory_no,pnl_24h,fill_count_24h,fill_count_48h,has_position,position_qty,info_risk_probability,info_risk_rationale,approve
KXNEXTCOACHOUTNFL-26-2-TB,KXNEXTCOACHOUTNFL-26-2,expand,Positive P&L ($0.18) and median fill = quote size (5.0),,0.04,10,10,10,0.18,2,3,True,-5,5,"A >20ppt move from ~6% in the next 7 days would require Tampa Bay to announce a firing/resignation (or similarly decisive news) before any other NFL head coach — an outcome that is uncommon in the middle/close of the regular season. Most head-coach changes are announced immediately after a team’s season ends (early January) and typically cluster across multiple teams, so the chance Tampa Bay is uniquely the next coach out within seven days is low.",yes
KXAISTREAMSERIES-27-AMA,KXAISTREAMSERIES-27,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,5,"A >20ppt move from ~14% would essentially require a direct Amazon announcement or immediate public release of a fully AI‑generated multi‑episode series; given the holiday week (Dec 27–Jan 3), no known Amazon events, and the technical/rights/PR hurdles, that is very unlikely. Broader industry reports could shift sentiment slightly but are unlikely to move the market by more than 20 percentage points within seven days.",yes
KXTECHLAYOFF-25NOV-1.4,KXTECHLAYOFF-25NOV,expand,Positive P&L ($0.34) and median fill = quote size (5.0),,0.04,10,10,10,0.34,7,7,False,0,8,"The BLS JOLTS release that will report the November 2025 layoffs/discharges rate (the official series referenced by the market) is scheduled for January 7, 2026, outside the Dec 27–Jan 3 window, so an official resolution in the next 7 days is very unlikely. Individual large tech-firm layoff announcements could still shift sentiment, but absent a major multi-thousand-job shock (which is uncommon on such short notice) it’s unlikely to move a 50% market by more than 20 percentage points within seven days. ([bls.gov](https://www.bls.gov/jlt/?utm_source=openai))",yes
KXIPO-26-ANTHROPIC,KXIPO-26,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,10,"It is year‑end (Dec 27) and there are no imminent, schedule‑driven SEC filings or corporate deadlines that would typically produce definitive IPO confirmation or decisive negative evidence in the next 7 days. While a surprise S‑1 filing, executive confirmation, or major adverse development could swing the market >20 ppts, those events are relatively unlikely on such short notice, so only a low single‑digit/low‑double‑digit chance exists of market‑moving news in the coming week.",yes
KXDOJEPSTEINOUT-26,KXDOJEPSTEINOUT-26,scale_down,P&L < -$0.50 ($-0.82) - scaling down (quote 20.0->10.0),,0.08,10,10,10,-0.82,6,14,True,1,28,"The DOJ released an initial batch of Epstein files in mid‑December and is under intense, bipartisan scrutiny, and outlets have reported internal tensions and earlier threats to resign — factors that raise the chance of a departure being reported. However, as of Dec 27 there are no confirmed reports of DOJ employees leaving directly because of the December release, the department says document production will continue on a rolling basis over the coming weeks, and the holiday period makes an immediate, decisive personnel exit less likely. ([theguardian.com](https://www.theguardian.com/us-news/2025/dec/19/jeffrey-epstein-files-us-justice-department?utm_source=openai))",yes
KXGTAPRICE-70,KXGTAPRICE,reset_defaults,"No fills in lookback period (sibling expanding in KXGTAPRICE, resetting to defaults)",True,0.05,5,5,5,0.00,0,0,False,0,20,"There is a low-to-moderate chance (≈20%) that definitive pricing news (official Rockstar/MSRP announcement or major retailer listings/leaks) will appear in the next 7 days and move the market by >20 percentage points. Such a swing would require clear, authoritative information (e.g., an MSRP of ≤$70 or a confirmed $79.99+) and absent a known imminent announcement the short time window makes this unlikely though not impossible due to leaks or surprise press releases.",yes
KXNEXTCOACHOUTNFL-26-2-LV,KXNEXTCOACHOUTNFL-26-2,reset_defaults,"High info risk (45% > 25%) (sibling expanding in KXNEXTCOACHOUTNFL-26-2, resetting to defaults)",True,0.05,5,5,5,0.86,5,15,True,-21,45,"Moderate (45%) — The Raiders have had a very poor 2025 season (listed 2–13) and Pete Carroll (hired Jan 2025) has already overseen midseason staff changes, so a coach exit or competing head‑coach announcements in the next week that would swing this market >20 percentage points is plausible. NFL teams frequently announce coaching changes immediately after the regular season (Black Monday), which raises short‑term risk of market‑moving news; however there’s no single confirmed imminent Las Vegas head‑coach resignation/firing reported at the time of this assessment. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2025_Las_Vegas_Raiders_season?utm_source=openai))",yes
KXGTAPRICE-90,KXGTAPRICE,expand,Positive P&L ($0.84) and median fill = quote size (20.0),,0.04,25,25,25,0.84,2,5,True,-10,10,"Rockstar has pushed GTA VI’s console launch to November 19, 2026 and there is no official PS5 base-game MSRP or pre-order pricing announced, so a definitive price reveal in the next 7 days is unlikely. ([hypebeast.com](https://hypebeast.com/2025/11/gta-6-delayed-to-november-19-2026-with-a-console-first-launch?utm_source=openai)) While pricing speculation and occasional retailer/listing leaks (including $100 rumors) have circulated, the chance of a credible official price or retailer pre-order leak this holiday week that would move the market by >20 percentage points is low but non-zero. ([gtaboom.com](https://www.gtaboom.com/Another_Analyst_Adds_to_the_GTA_6_Price_Tag_Rumors?utm_source=openai))",yes
KXTENNCOACH-26-MNAG,KXTENNCOACH-26,expand,Positive P&L ($0.08) and median fill = quote size (10.0),,0.04,20,20,20,0.08,3,6,True,-20,15,"Interviews for the Titans’ head-coaching vacancy are not expected to begin until roughly mid‑January, so a final hire inside the next 7 days (Dec 27–Jan 3) is unlikely. ([musiccitymiracles.com](https://www.musiccitymiracles.com/tennessee-titans-coaching-staff/63187/titans-coaching-search-matt-nagy-viewed-internally-as-serious-candidate)) There is active media chatter that Matt Nagy is a serious candidate and books/odds have moved, so incremental rumors or endorsements could move the market modestly, but a >20 percentage‑point swing without an actual hire or a decisive leak is unlikely — overall ~15% chance of such market‑moving news in the next 7 days. ([profootballrumors.com](https://www.profootballrumors.com/2025/12/matt-nagy-considered-a-serious-candidate-for-titans-hc-job?utm_source=openai))",yes
KXNEXTCOACHOUTNFL-26-2-MIA,KXNEXTCOACHOUTNFL-26-2,expand,Positive P&L ($0.53) and median fill = quote size (10.0),,0.04,20,20,20,0.53,4,9,False,0,5,"Very low — multiple reputable reports in Dec 2025 say Mike McDaniel will remain head coach through at least the end of the 2025 season and he’s on a multi‑year extension, while owner Stephen Ross has publicly signaled patience; the Dolphins previously fired GM Chris Grier but explicitly kept McDaniel, so an in‑season firing or immediate departure in the next 7 days is unlikely. A sudden resignation, health issue, or explosive new reporting could still move the market, but those are low‑probability in the coming week. ([nbcsports.com](https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/report-mike-mcdaniel-to-remain-dolphins-coach-through-the-end-of-the-season/?utm_source=openai))",yes
KXJENSENMENTION-26JAN06-ARIZ,KXJENSENMENTION-26JAN06,expand,Positive P&L ($0.25) and median fill = quote size (10.0),,0.04,20,20,20,0.25,1,2,False,0,15,"CES 2026 keynote is after the 7‑day window, and NVIDIA rarely publishes verbatim scripts or explicit word‑level confirmations in advance, so a definitive confirm/deny that Jensen will say “Arizona” is unlikely. There is a small chance of a press release, program detail, or credible leak in the next week that would swing market expectations by >20 ppts, but that outcome is low probability.",yes
KXSP500ADDQ-26MAR31-SOFI,KXSP500ADDQ-26MAR31,expand,Positive P&L ($0.57) and median fill = quote size (5.0),,0.04,10,10,10,0.57,6,6,True,-1,8,"Very low — there are no scheduled S&P index‑committee announcement windows in the next 7 days and S&P typically announces changes several trading days before an effective inclusion (the next quarterly rebalance is mid‑March), so an index announcement this week is unlikely. ([researchgate.net](https://www.researchgate.net/publication/228260037_The_Addition_and_Deletion_Effects_of_the_Standard_Poor%27s_500_Index_and_Its_Dynamic_Evolvement_from_1990_to_2002_Demand_Curves_Market_Efficiency_Information_Volume_and_Return?utm_source=openai)) SoFi’s next obvious material event is its late‑January earnings and the company just completed a large equity offering in December; combined with the holiday week, the probability of a surprise M&A/filing or index decision that would move market pricing >20 percentage points in the next 7 days is small but not zero. ([marketbeat.com](https://www.marketbeat.com/stocks/NASDAQ/SOFI/earnings/?utm_source=openai))",yes
KXGTAPRICE-100,KXGTAPRICE,reset_defaults,"No fills in lookback period (sibling expanding in KXGTAPRICE, resetting to defaults)",True,0.05,5,5,5,0.00,0,0,False,0,10,"A >20ppt move from the current 18% would essentially require a definitive MSRP/pre‑order listing at or above $100 (or an equivalently credible leak) within the next 7 days. Official pricing announcements from Rockstar/Take‑Two are typically tied to launch/preorder windows and are unlikely in the holiday week, so while a retailer leak or surprise announcement could push the market above ~38%, that is low probability over the next week.",yes
KXIPO-26-DATABRICKS,KXIPO-26,scale_down,No fills in lookback period - scaling down (quote 10.0->5.0),,0.08,5,5,5,0.00,0,0,False,0,6,"The year-end holiday window (Dec 27–Jan 2) and lack of scheduled filings make a high-confidence IPO confirmation or equally weighty negative development unlikely in the next 7 days. Only a credible SEC filing, explicit Databricks confirmation of an IPO timeline, or a major acquisition/regulatory shock would plausibly move the market by >20 percentage points, and those events have a low probability this week (~6%).",yes
KXIPO-26-RIPPLE,KXIPO-26,reset_defaults,"No fills in lookback period (within 48h protection, resetting to defaults)",True,0.05,5,5,5,0.00,0,0,False,0,12,"A decisive IPO confirmation or disavowal for Ripple that would swing the market >20 percentage points in the next 7 days is unlikely: IPO announcements are typically planned and announced with lead time, and there’s been no public signal of an imminent filing. Year‑end holiday timing further reduces the chance of major corporate or regulatory news, though a small tail risk remains from leaks, unexpected confidential filings becoming public, or a sudden board decision.",yes
KXNEXTCOACHOUTNFL-26-2-KC,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.05,5,5,5,0.00,0,0,False,0,2,"A >20ppt move from the current ~4% price would require a sudden Kansas City head-coach departure/announcement in the next 7 days (to push price above ~24%). That outcome is very unlikely given KC's stable coaching situation and no known imminent decision points; other coaches leaving earlier could only lower the price by at most ~4ppts, so only a rare shock (health/scandal/abrupt retirement/firing) would produce a >20ppt move.",yes
KXNEXTCOACHOUTNFL-26-2-ARI,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.05,5,5,5,0.00,0,0,False,0,12,"Definitive, market-moving news (an Arizona HC firing/resignation or an incontrovertible public guarantee of retention/extension) within the next 7 days is possible but uncommon; coach changes tend to cluster in early January and any announcement that clearly makes Arizona the first exit would be required to shift this ~14% price by >20 ppts. Given the short window and the likelihood that any early moves involve multiple teams or incremental reporting rather than a decisive Arizona announcement, the chance of a >20ppt swing in the next week is low but non-negligible.",yes
KXNEXTCOACHOUTNFL-26-2-NO,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.05,5,5,5,0.00,0,0,False,0,3,"Very low — head coaching changes for New Orleans are typically announced after the regular season and most firings/resignations occur in January, so a sudden departure in the next 7 days is unlikely. While unexpected resignations or emergency developments can occur, the historical cadence and timing make a >20 percentage-point jump from ~4% within one week improbable (~3%).",yes
KXNEXTCOACHOUTNFL-26-2-DET,KXNEXTCOACHOUTNFL-26-2,activate_sibling,Sibling of expanding market in event KXNEXTCOACHOUTNFL-26-2,True,0.05,5,5,5,0.00,0,0,False,0,6,"At a 6% baseline, the only way to move the market >20 ppts in the next 7 days is for Detroit’s head coach to be fired or to announce they are leaving (which would immediately push the price well above +20 ppts or resolve the market). Late-December/early-January is a time when firings happen, but historically the first head-coach departures are uncommon in a single-week window and most clubs wait until season end/early January—so the short‑window chance is small but non-zero.",yes
KXTENNCOACH-26-JBRA,KXTENNCOACH-26,activate_sibling,Sibling of expanding market in event KXTENNCOACH-26,True,0.05,5,5,5,0.00,0,0,False,0,15,"There are no public indications that Tennessee has finalized or is about to finalize a permanent HC hire for Joe Brady, and the NFL coaching carousel usually accelerates after the regular season ends (often late Dec–early Jan), so an outright hire announcement in the next 7 days is unlikely. That said, credible leaks or a surprise rapid decision could still move the market by >20 ppts, so I assign a modest (~15%) chance of such market-moving news within one week.",yes
KXTENNCOACH-26-BDAB,KXTENNCOACH-26,activate_sibling,Sibling of expanding market in event KXTENNCOACH-26,True,0.05,5,5,5,0.00,0,0,False,0,7,"There is a low but non‑zero chance of market‑moving news in the next 7 days: the NFL coaching carousel typically accelerates in early January, but there are currently no public signals tying Brian Daboll to the Tennessee job and the market is already priced very low. A sudden hire announcement or a definitive public ruling-out (or Daboll signing elsewhere) could move the price >20 ppts, but such specific, decisive news within one week is unlikely.",yes
KXTENNCOACH-26-ASMI,KXTENNCOACH-26,activate_sibling,Sibling of expanding market in event KXTENNCOACH-26,True,0.05,5,5,5,0.00,0,0,False,0,10,"A >20ppt move from ~7% would require a concrete, high-confidence announcement or leak that Arthur Smith is the next permanent coach (or similarly outsized news boosting his odds above ~27%). While head‑coach decisions often crystallize in early January, absent clear reporting or an imminent hire I assess a low but non‑negligible chance of such market-moving news in the next 7 days.",yes
KXTENNCOACH-26-BFLO,KXTENNCOACH-26,activate_sibling,Sibling of expanding market in event KXTENNCOACH-26,True,0.05,5,5,5,0.00,0,0,False,0,7,"The Titans remain in an active, multi-candidate head-coach search after Brian Callahan’s firing and reporting indicates the team is still interviewing and considering several candidates rather than imminently finalizing a hire — making a sudden Flores hire within the next 7 days (by 2026-01-03) unlikely. ([bleacherreport.com](https://bleacherreport.com/articles/25262408-titans-reportedly-beginning-stages-nfl-hc-search-after-brian-callahan-firing/?utm_source=openai)) Brian Flores is currently serving as an NFL defensive coordinator, and there are stronger-linked candidates (e.g., Matt Nagy, Marcus Freeman) in recent coverage, so the chance of market-moving confirmation that Flores will be the next permanent Tennessee head coach in the next week is low but not zero (accounts/leaks could still surface). ([en.wikipedia.org](https://en.wikipedia.org/wiki/Brian_Flores?utm_source=openai))",yes
KXSP500ADDQ-26MAR31-MSTR,KXSP500ADDQ-26MAR31,activate_sibling,Sibling of expanding market in event KXSP500ADDQ-26MAR31,True,0.05,5,5,5,0.00,0,0,False,0,7,"Low probability — S&P 500 inclusion announcements typically cluster around quarterly rebalances (especially closer to March) and there is no public indication of an imminent committee decision or corporate action (large buyback, drastic float change or forced reclassification) that would prompt a sudden >20 percentage-point repricing in the next 7 days. While an unexpected, material corporate move by MicroStrategy or an out-of-cycle S&P decision could produce a large jump, those events are unlikely on this short horizon given current information.",yes
KXSP500ADDQ-26MAR31-CIEN,KXSP500ADDQ-26MAR31,activate_sibling,Sibling of expanding market in event KXSP500ADDQ-26MAR31,True,0.05,5,5,5,0.00,0,0,False,0,15,"An S&P 500 inclusion announcement or definitive corporate action (e.g., an acquisition or an explicit commitment altering float/market cap) in the next 7 days would move the market >20ppts, but such events are relatively unlikely over the year-end/New Year holiday window. S&P typically times reconstitution or additions closer to the effective dates in the Jan–Mar window, so while a surprise takeover or unexpected company disclosure could occur, the near-term probability of material news is low but non-zero.",yes
KXSP500ADDQ-26MAR31-PSTG,KXSP500ADDQ-26MAR31,activate_sibling,Sibling of expanding market in event KXSP500ADDQ-26MAR31,True,0.05,5,5,5,0.00,0,0,False,0,8,"Very low — S&P inclusion announcements or decisive corporate actions (M&A, split) that would swing market probabilities by >20ppt are uncommon during the year‑end/New Year holiday week. Unless S&P Dow Jones unexpectedly names Pure Storage in a rare pre‑January announcement or the company discloses a major deal in the next 7 days, there’s a slim chance of news large enough to move the market >20ppts.",yes
KXSP500ADDQ-26MAR31-ALNY,KXSP500ADDQ-26MAR31,activate_sibling,Sibling of expanding market in event KXSP500ADDQ-26MAR31,True,0.05,5,5,5,0.00,0,0,False,0,10,"An S&P 500 addition announcement (or definitive leak) within the next 7 days is unlikely given the holiday period and typical timing of index committee communications; an official inclusion announcement would be required to swing price from ~18% to >38%. There are no known imminent corporate events or regulatory filings for Alnylam that would reliably generate a >20 percentage-point reprice in this short window, so only a low-probability surprise or rumor would move the market that much.",yes
KXSP500ADDQ-26MAR31-VRT,KXSP500ADDQ-26MAR31,activate_sibling,Sibling of expanding market in event KXSP500ADDQ-26MAR31,True,0.05,5,5,5,0.00,0,0,False,0,10,A >20ppt move would almost certainly require a formal S&P inclusion announcement or major corporate news (M&A or material guidance change). S&P index changes and Vertiv corporate events that would guarantee such a move are unlikely in the next 7 days and there are no known scheduled catalysts; a late leak or surprise deal could still occur but is low probability.,yes
KXJENSENMENTION-26JAN06-CAPI,KXJENSENMENTION-26JAN06,activate_sibling,Sibling of expanding market in event KXJENSENMENTION-26JAN06,True,0.05,5,5,5,0.00,0,0,False,0,10,"CES 2026 keynote and any definitive transcript are outside the 7‑day window (Dec 27–Jan 3), so a pre-release that would move the market >20 ppts is unlikely. There is a small chance (press teaser, slide leak, or CEO interview) could explicitly state he will say the word “Capital,” but historically NVIDIA/CEO communications rarely reveal an exact keyword ahead of a live keynote, so large moves from such news are low probability.",yes
KXJENSENMENTION-26JAN06-SUPE,KXJENSENMENTION-26JAN06,activate_sibling,Sibling of expanding market in event KXJENSENMENTION-26JAN06,True,0.05,5,5,5,0.00,0,0,False,0,8,"The CES keynote will almost certainly occur after the next 7 days, so the outcome won’t be decided in that window; the only plausible market-moving news before then would be a pre-release promo clip, interview, or credible script leak showing Jensen Huang saying “Supersonic.” That specific, targeted reveal is possible but unlikely, so I assess a low (~8%) chance of news in the next 7 days that would move the price by >20 percentage points.",yes
KXJENSENMENTION-26JAN06-500,KXJENSENMENTION-26JAN06,activate_sibling,Sibling of expanding market in event KXJENSENMENTION-26JAN06,True,0.05,5,5,5,0.00,0,0,False,0,8,"The CES keynote is more than 7 days away so the outcome cannot be decided in this window; the holiday period (Dec 27–Jan 3) makes a definitive company preview or reliable leak that would bump the market >20 percentage points unlikely. Only a direct NVIDIA preview, an authoritative leak quoting “500 Billion,” or an influential analyst report would plausibly move the price by that magnitude in the next week, and those scenarios are low-probability.",yes
KXJENSENMENTION-26JAN06-ELON,KXJENSENMENTION-26JAN06,activate_sibling,Sibling of expanding market in event KXJENSENMENTION-26JAN06,True,0.05,5,5,5,0.00,0,0,False,0,12,"CES keynotes are in early January so Jensen Huang’s live remarks are unlikely to be fully revealed within the next 7 days; therefore a decisive pre-release that would swing the market >20 p.p. is improbable. Only low-probability catalysts—an official program explicitly naming Elon/Musk, a high-confidence leak of the keynote script, or a sudden NVIDIA/Elon-linked announcement—would move the price that much in the coming week.",yes
