activate,title,ticker,volume_24h,yes_bid,yes_ask,info_risk_probability,info_risk_rationale,info_risk_error,fair_value,fair_value_rationale,can_close_early,category,close_time,created_time,early_close_condition,event_ticker,expected_expiration_time,expiration_time,expiration_value,last_price,last_price_dollars,latest_expiration_time,liquidity,liquidity_dollars,market_type,no_ask,no_ask_dollars,no_bid,no_bid_dollars,no_sub_title,notional_value,notional_value_dollars,open_interest,open_time,previous_price,previous_price_dollars,previous_yes_ask,previous_yes_ask_dollars,previous_yes_bid,previous_yes_bid_dollars,price_level_structure,price_ranges,response_price_units,result,risk_limit_cents,rules_primary,rules_secondary,settlement_timer_seconds,status,subtitle,tick_size,volume,yes_ask_dollars,yes_bid_dollars,yes_sub_title,current_spread,previous_spread,midpoint_change_24h,fair_value_error,custom_strike_Participant,strike_type,custom_strike_Person,custom_strike_soccer_team,custom_strike_Action,custom_strike_Company,floor_strike,custom_strike_golf_competitor,custom_strike_Candidate/Party,custom_strike_Actor,custom_strike_Candidate,custom_strike_Cut,custom_strike_tennis_competitor,custom_strike_basketball_team,custom_strike_Team,custom_strike_Word,custom_strike_Person 2,custom_strike_candidate,custom_strike_Area,custom_strike_Bank,custom_strike_Date,custom_strike_Value,custom_strike_Option,custom_strike_Party,custom_strike_Individual,custom_strike_Nominee,cap_strike,custom_strike_election/candidate/party
1,Who will be the next Head Coach of the Tennessee Pro Football Team?,KXTENNCOACH-26-MNAG,2278,14,38,12,"Reporting indicates the Titans plan to begin formal interviews in roughly three weeks, with no current sign of an imminent hire â€” so a definitive announcement (the most likely way to move price >20%) within 7 days is unlikely. ([musiccitymiracles.com](https://www.musiccitymiracles.com/tennessee-titans-coaching-staff/63187/titans-coaching-search-matt-nagy-viewed-internally-as-serious-candidate?utm_source=openai)) Matt Nagy is widely reported as a serious candidate and the early odds favor him, so there is a small chance (e.g., sudden permission to interview, a strong denial, or an unexpected hire) of market-moving news, but that scenario is low-probability over the next week. ([profootballrumors.com](https://www.profootballrumors.com/2025/12/matt-nagy-considered-a-serious-candidate-for-titans-hc-job?utm_source=openai))",,25,"The Titans fired Brian Callahan and are conducting a headâ€‘coach search in which Kansas City OC Matt Nagy has been reported as a â€œserious candidate,â€ in part because of his past working relationship with Titans GM Mike Borgonzi. ([espn.com](https://www.espn.com/nfl/story/_/id/46583863/titans-fire-coach-brian-callahan-1-5-start-2025%22?utm_source=openai)) Nagyâ€™s resume (former Bears head coach and current Chiefs offensive coordinator) makes him a credible hire, but competing defensive candidates, his Chiefs commitments/contract situation, and Tennesseeâ€™s recent hiring patterns reduce his likelihoodâ€”so I estimate roughly a oneâ€‘inâ€‘four chance. ([chiefs.com](https://www.chiefs.com/team/coaches-roster/matt-nagy?utm_source=openai))",TRUE,,2026-09-01T14:00:00Z,2025-10-27T22:08:31.55121Z,This market will close and expire early if the event occurs.,KXTENNCOACH-26,2026-09-01T14:00:00Z,2026-09-01T14:00:00Z,,38,0.38,2026-09-01T14:00:00Z,3351305,33513.05,binary,86,0.86,62,0.62,Matt Nagy,100,1,12552,2025-10-28T00:00:00Z,11,0.11,18,0.18,11,0.11,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If the next permanent head coach of the Tennessee Pro Football Team is Matt Nagy, then the market resolves to Yes.","If no permanent head coach is selected before Sep 1, 2026, all markets resolve to No.",1800,active,,1,17679,0.38,0.14,Matt Nagy,24,7,11.5,,,custom,Matt Nagy,,,,,,,,,,,,,,,,,,,,,,,,,
1,Who will IPO before 2027?,KXIPO-26-RIPPLE,597,33,39,8,"Management has publicly said Ripple has â€œno IPO timelineâ€ and is wellâ€‘capitalized â€” theyâ€™ve signaled staying private for now, which makes an unexpected IPO confirmation in the next 7 days unlikely. ([mexc.com](https://www.mexc.com/news/ripple-foregoes-ipo-plans-as-xrp-gains-amid-500m-funding-and-regulatory-tailwinds/156060?utm_source=openai)) The SEC appeal has been dropped (reducing regulatory uncertainty that could trigger a sudden IPO push), and there are no known scheduled filings or events in the holiday week, so a >20% reâ€‘pricing event driven by a confirmed IPO or equivalent material news in the next seven days remains low but not impossible. ([reuters.com](https://www.reuters.com/legal/government/ripple-drop-cross-appeal-against-us-sec-crypto-lawsuit-ceo-says-2025-06-27/?utm_source=openai))",,30,"Regulatory risk that held Ripple back has eased (the SEC dropped its appeal), which meaningfully increases the feasibility of a public listing, but Rippleâ€™s leadership has publicly said it had no IPO plans for 2025 and the company remains wellâ€‘capitalized and not motivated to raise public capital â€” making an early confirmation unlikely. Ripple has pursued alternative public paths for related entities and strategic acquisitions rather than a direct Ripple IPO so far, so I judge a modest (but not negligible) chance they will formally confirm an IPO before Jan 1, 2027. ([reuters.com](https://www.reuters.com/legal/ripple-ceo-says-us-sec-will-drop-appeal-against-crypto-firm-2025-03-19/?utm_source=openai))",TRUE,,2027-01-01T04:59:00Z,2025-11-19T22:21:44.996199Z,This market will close and expire early if the event occurs.,KXIPO-26,2027-01-01T15:00:00Z,2027-01-08T15:00:00Z,,32,0.32,2027-01-08T15:00:00Z,670743,6707.43,binary,67,0.67,61,0.61,Ripple Labs,100,1,2120,2025-11-20T03:00:00Z,48,0.48,50,0.5,44,0.44,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Ripple Labs confirms an IPO before Jan 1, 2027, then the market resolves to Yes.","An IPO is confirmed if 1) the SEC declares the company's Form S-1 effective OR 2) the IPO is priced OR 3) a securities exchange has assigned a ticker to it. As long as any of those events occur, the market will immediately resolve to Yes, even if the company does not start trading until after Jan 1, 2027.",300,active,,1,2623,0.39,0.33,Ripple Labs,6,6,11,,,custom,,,,Ripple Labs,,,,,,,,,,,,,,,,,,,,,,
1,Will Kylian Mbappe lead FIFA World Cup in Goals for the 2026 World Cup Full Tournament?,KXWCGOALLEADER-26-KMBA,588,11,18,10,"MbappÃ© is currently playing and scoring for Real Madrid with no public indication of a season-ending issue, so there is no known near-term development already pointing to a decisive change. ([reuters.com](https://www.reuters.com/sports/soccer/mbappe-equals-ronaldo-record-real-madrids-2-0-win-over-sevilla-2025-12-20/?utm_source=openai)) The 2026 World Cup runs June 11â€“July 19, 2026, so roster/tournament resolution is months away; only an unexpected major shock (sudden season-ending injury, retirement, or suspension) in the next 7 days would plausibly move the market >20%, which I estimate at about a 10% chance. ([fifa.com](https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums?utm_source=openai))",,22,"MbappÃ© will be 27 at the 2026 World Cup and is likely to remain Franceâ€™s primary attacking threat, giving him a solid chance because Golden Boot winners almost always come from teams that advance deep. However, the expanded 48â€‘team format, strong rivals (e.g., elite strikers who could peak in 2026), plus the everâ€‘present risks of injury, rotation, or tactical changes, substantially lower the probability he will outscore every other player.",TRUE,,2026-08-07T14:00:00Z,2025-12-16T00:22:59.333363Z,This market will close and expire early if the season ends earlier than expected.,KXWCGOALLEADER-26,2026-07-31T14:00:00Z,2026-08-07T14:00:00Z,,18,0.18,2026-08-07T14:00:00Z,1515054,15150.54,binary,89,0.89,82,0.82,Kylian Mbappe,100,1,539,2025-12-16T15:00:00Z,43,0.43,43,0.43,18,0.18,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Kylian Mbappe leads FIFA World Cup in Goals for the 2026 World Cup Full Tournament, then the market resolves to Yes.","If two or more players finish the tournament tied for most goals scored and no official tiebreaker is used to declare a single winner, all tied players will share the payout equally. Each tied outcome will pay $1 divided by the number of tied players, rounded down to the nearest cent. All other outcomes will resolve to No.",1800,active,,1,751,0.18,0.11,Kylian Mbappe,7,25,16,,Kylian Mbappe,custom,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Who will win a PGA Tour Major in 2026?,KXPGAMAJORWIN-26-SSCH,547,52,58,8,"The PGA Tour is in its holiday/off-season with no majors or regular PGA Tour events scheduled between Dec 25â€“31, 2025, so thereâ€™s low likelihood of competitive or form-driven news that would shift the market >20%. ([si.com](https://www.si.com/golf/2026-pga-tour-schedule-complete-dates-winners-purses/?utm_source=openai)) Scottie Scheffler is coming off a strong 2025 season (PGA TOUR Player of the Year), so only an unexpected shock event (serious injury, suspension, sudden retirement or similar) in the next seven days would plausibly move price by >20%, and those remain low-probability outcomes. ([pgatour.com](https://www.pgatour.com/article/news/latest/2025/12/15/scottie-scheffler-aldrich-potgieter-named-2025-pga-tour-player-and-rookie-of-the-year?utm_source=openai))",,45,"Scottie Scheffler is the world No. 1 and has been in dominant form across 2024â€“2025, recording multiple PGA Tour wins (including multiple majors) and earning 2025 PGA TOUR Player of the Year honorsâ€”evidence he remains a top favorite at majors. ([pgatour.com](https://www.pgatour.com/article/news/latest/2025/12/15/scottie-scheffler-aldrich-potgieter-named-2025-pga-tour-player-and-rookie-of-the-year?utm_source=openai))",TRUE,,2026-12-31T15:00:00Z,2025-12-19T22:28:30.102253Z,This market will close and expire early if the event occurs.,KXPGAMAJORWIN-26,2026-12-31T15:00:00Z,2026-12-31T15:00:00Z,,52,0.52,2026-12-31T15:00:00Z,15430032,154300.32,binary,48,0.48,42,0.42,Scottie Scheffler,100,1,555,2025-12-21T15:00:00Z,58,0.58,58,0.58,52,0.52,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Scottie Scheffler wins any of the four golf major tournaments (The Masters, the PGA Championship, the U.S. Open, and The Open Championship) in 2026, then the market resolves to Yes.",,1800,active,,1,555,0.58,0.52,Scottie Scheffler,6,6,0,,,structured,,,,,,6db3e736-d86d-4181-aa3b-651b8c1bfdc1,,,,,,,,,,,,,,,,,,,,
1,Will the rate of core PCE inflation be above 0.2% in March 2026?,KXPCECORE-26MAR-T0.2,500,42,48,10,"There are no scheduled BEA Personal Income & Outlays (PCE) releases or FOMC meetings in the Dec 25â€“Jan 1 window; BEA shows the Personal Income and Outlays (which contains core PCE) for December 2025 on Jan 29, 2026 and core PCE for March 2026 wonâ€™t be reported until April 2026. ([bea.gov](https://www.bea.gov/index.php/news/schedule/next-year?utm_source=openai)) Holiday-thinned liquidity and the BLS calendar show few major macro releases in this week (only regional/advance indicators such as a Chicago Fed labor advance on Dec 30), so absent an unexpected geopolitical/Fed/data shock the chance of a >20% move is low but not zero. ([bls.gov](https://www.bls.gov/schedule/2026/home.htm?utm_source=openai))",,60,"Core PCE has been running around the high 2% range on a 12â€‘month basis and recent monthly core prints have frequently been in the ~0.1â€“0.3% band, so a March 2026 monthâ€‘overâ€‘month print above 0.2% is slightly more likely than not. Recent data disruptions and signs of policy easing raise upside risk to nearâ€‘term monthly inflation readings, increasing the chance March prints top 0.2%. ([bea.gov](https://www.bea.gov/data/personal-consumption-expenditures-price-index-excluding-food-and-energy))",TRUE,,2026-04-30T12:25:00Z,2025-11-05T19:30:00.438902Z,,KXPCECORE-26MAR,2026-04-30T14:00:00Z,2026-05-07T14:00:00Z,,46,0.46,2026-05-07T14:00:00Z,49450,494.5,binary,58,0.58,52,0.52,Above 0.2%,100,1,500,2025-11-06T15:00:00Z,0,0,54,0.54,46,0.46,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If the (single-decimal) month-over-month percent change in the Personal Consumption Expenditures Price Index excluding food and energy is above 0.2% in March 2026 according to the Bureau of Economic Analysis, then the market resolves to Yes.","The market will close at 8:25 AM ET on the expected release of the data. It will expire at the sooner of the first 10:00 AM ET following the release of the data, or one week after the expected release of the data.",3600,active,0.002,1,500,0.48,0.42,Above 0.2%,6,8,5,,,greater,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
1,Who will win Chicago Mayoral Election?,KXMAYORCHI-27-MPAP,405,28,34,12,"The 2027 Chicago mayoral election is scheduled for February 23, 2027 and the outcome cannot be decided within the next seven days; Maria Pappas has indicated she will not officially kick off a mayoral campaign until after the 2026 cycle, so a definitive campaign-moving launch is unlikely in the coming week. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2027_Chicago_mayoral_election?utm_source=openai))  While an unexpected scandal, indictment, sudden high-profile endorsement, or a viral polling release could still move the market by >20%, those tail events are uncommon on a one-week horizon, so I assess a low (single-digit to low-teen) probability. ([chicago.suntimes.com](https://chicago.suntimes.com/elections/2025/11/18/cook-county-treasurer-maria-pappas-mayoral-campaign-chicago-brandon-johnson?utm_source=openai))",,45,"Maria Pappas has formally signaled a 2027 mayoral bid and early head-to-head polling shows her with a large lead (56% to 23% in a Sept. 2025 Victory Research snapshot), while incumbent Brandon Johnsonâ€™s approval is weak â€” factors that make her a leading contender. ([fox32chicago.com](https://www.fox32chicago.com/news/cook-county-treasurer-maria-pappas-says-shes-in-chicago-mayor?utm_source=openai)) However, the race is still more than a year out, could attract high-profile entrants, and early polls can move quickly (and Pappas is 77 at election time), so I discount the early lead accordingly. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Maria_Pappas?utm_source=openai))",TRUE,,2028-02-23T15:00:00Z,2025-12-17T00:14:50.459261Z,This market will close and expire early if the event occurs.,KXMAYORCHI-27,2027-02-23T15:00:00Z,2028-02-23T15:00:00Z,,30,0.3,2028-02-23T15:00:00Z,496283,4962.83,binary,72,0.72,66,0.66,Maria Pappas,100,1,451,2025-12-17T03:00:00Z,30,0.3,37,0.37,31,0.31,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Maria Pappas wins Chicago Mayoral Election in 2027, then the market resolves to Yes.",,1800,active,,1,451,0.34,0.28,Maria Pappas,6,6,3,,,custom,,,,,,,Maria Pappas,,,,,,,,,,,,,,,,,,,
1,Will Aaron Pierre be the next James Bond?,KXBOND-30-AP,404,0,18,3,"Very unlikely â€” major reporting and insiders say the Bond casting/search wonâ€™t properly begin until 2026 (casting expected after Denis Villeneuve finishes Dune) and writers/producers have indicated the script/casting process is not active, so a credible, market-moving announcement in the next 7 days is improbable. ([thejamesbonddossier.com](https://www.thejamesbonddossier.com/news/bond-26-casting-to-begin-in-2026.htm?utm_source=openai)) Aaron Pierre has been mentioned only in scoops/rumors (trade pieces and individual scoops), not in any official casting confirmation, making a sudden announcement that would swing the ~9% price by >20 percentage points over Dec 25â€“Jan 1 unlikely. ([cbr.com](https://www.cbr.com/james-bond-aaron-pierre-rumored-next-007/?utm_source=openai))",,10,"As of Dec 25, 2025 Aaron Pierre has been reported as one of several actors being considered for the next James Bond but has not been officially cast. ([cbr.com](https://www.cbr.com/james-bond-aaron-pierre-rumored-next-007/?utm_source=openai)) Producers (now Amazon MGM) and director Denis Villeneuve are expected to pursue a â€œfresh faceâ€ with casting likely after Villeneuve finishes Dune 3, so while Pierreâ€™s rising profile makes him a plausible candidate, heavy competition and no firm frontrunner lead me to assign about a 10% chance heâ€™ll be cast before Jan 1, 2030. ([yahoo.com](https://www.yahoo.com/entertainment/article/james-bond-26-007-cast-rumours-release-date-143855208.html?utm_source=openai))",TRUE,,2030-01-01T15:00:00Z,2025-06-24T01:00:46.479831Z,This market will close and expire early if the event occurs.,KXBOND-30,2030-01-01T15:00:00Z,2030-01-01T15:00:00Z,,18,0.18,2030-01-01T15:00:00Z,409927,4099.27,binary,100,1,82,0.82,Aaron Pierre,100,1,3515,2025-06-24T01:05:00Z,18,0.18,18,0.18,0,0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Aaron Pierre is cast as the next James Bond before Jan 1, 2030, then the market resolves to Yes.","This is for the next film in the James Bond series, which goes back to Dr. No (1962); spin-offs and unauthorized productions are not included.",1800,active,,1,4856,0.18,0,Aaron Pierre,18,18,0,,,custom,,,,,,,,Aaron Pierre,,,,,,,,,,,,,,,,,,
